產業分類,code
水泥,1
食品加工,2
大宗物資,3
飲料相關,4
石化業,5
化纖原料,6
成衣,7
紡織中游,8
機械,9
電力設備,10
家電,11
電線電纜,12
電池材料相關,13
化學工業,14
橡膠工業,15
建材,16
家居用品,17
造紙業,18
線材、盤元,19
條鋼,20
不鏽鋼,21
合金鋼,22
非鐵金屬,23
貴金屬,24
板鋼,25
金屬礦採選,26
汽機車零組件,27
汽車內裝,28
車用金屬成型,29
車輛整車,30
車用電子,31
面板業,32
面板零組件,33
LED,34
被動元件,35
電子其他,36
電子零件元件,37
IC設計,38
IC封裝測試,39
印刷電路板相關,40
顯示器,41
光碟片,42
通訊設備,43
手機,44
通訊服務,45
電子通路,46
軟體業,47
設備儀器廠商,48
IC製造,49
分離式元件,50
INTERNET應用與服務,51
INTERNET技術與基礎設施,52
數位相機,53
消費性電子產品,54
電子化工材料,55
週邊產品,56
光通訊,57
穿戴式裝置,58
太陽能,59
遊戲產業,60
手機零組件,61
封測服務與材料,62
電聲產品,63
生物辨識相關,64
射頻前端晶片,65
電腦系統業,66
傳輸介面,67
地產,68
營造工程,69
基礎建設營運,70
運輸事業,71
旅館、餐飲,72
休閒娛樂,73
時尚產業,74
金融業,75
流通業,76
無店舖販售,77
電力公共事業,78
水資源,79
其他公用事業,80
控股公司,81
醫藥產業,82
生物科技,83
醫療器材通路,84
體外診斷用醫材,85
診斷與監測用醫材,86
手術與治療用醫材,87
輔助與彌補用醫材,88
其他醫療器材,89
醫療管理服務,90
農林漁牧,91
礦石開採,92
航天軍工,93
石油及天然氣,94
電力,95
煤,96
傳播事業,97
文化創意產業,98
綜合,99
傳產其他,100
資產股,101
運動產業,102
服務業,103
